source,target,relation_type,description,year,confidence,evidence_url
brunei-lng,mitsubishi-corporation,supply_chain,First LNG shipment from Brunei arrived in Japan in 1972 and stable supply continued.,1972,high,https://www.mitsubishicorp.com/jp/en/about/project/brunei-lng/
mitsubishi-corporation,donggi-senoro-lng,investment,"Donggi-Senoro LNG is jointly owned by Mitsubishi, KOGAS, Pertamina and Medco; MC is operator/largest stake.",,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
kogas,donggi-senoro-lng,investment,KOGAS is a joint owner of Donggi-Senoro LNG.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
pertamina,donggi-senoro-lng,investment,Pertamina is a joint owner of Donggi-Senoro LNG.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
medco,donggi-senoro-lng,investment,Medco is a joint owner of Donggi-Senoro LNG.,,high,https://www.mitsubishicorp.com/jp/en/about/business-group/energy-power-solution/
strait-hormuz,korean-manufacturing,supply_chain,KIET reports Hormuz risk can raise Korean manufacturing costs through energy and linked industrial materials.,2026,high,https://www.kiet.re.kr/research/issueView?issue_no=846
strait-hormuz,oman-lng,supply_chain,Oman is outside/adjacent to Hormuz and considered a geographic diversification option for Korea.,2026,medium,https://www.yna.co.kr/view/AKR20260423113300003
motie-korea,oman-lng,partnership,Korea's MOTIE discussed LNG and energy supply-chain cooperation with Oman LNG leadership.,2026,high,https://www.yna.co.kr/view/AKR20260423113300003
berkshire-hathaway,japanese-trading-houses,investment,"Berkshire holds long-term stakes in five Japanese trading houses: ITOCHU, Marubeni, Mitsubishi, Mitsui and Sumitomo.",2023,high,https://www.berkshirehathaway.com/news/jun1923.pdf
japanese-trading-houses,mitsubishi-corporation,membership,Mitsubishi Corporation is one of the five Japanese trading houses in Berkshire's Japanese investment basket.,2023,high,https://www.berkshirehathaway.com/2024ar/2024ar.pdf
ai-data-centers,korean-manufacturing,customer,AI/data center power demand is a growing driver that connects energy security to industrial competitiveness; Korea relevance is strategic inference.,,medium,https://www.mitsubishicorp.com/jp/en/news/release/2025/20250701001.html
mitsubishi-corporation,midocean-energy,investment,Mitsubishi strategic investment in MidOcean Energy (2024.4); added ~6 indirect LNG projects.,2024,high,https://journal.jogmec.go.jp/content/300799935.pdf
kogas,korea-lng,subsidiary,KOGAS holds its Oman LNG participation through the KOREA LNG vehicle.,,medium,https://www.mitsubishicorp.com/jp/en/news/release/2025/20250403001.html
korea-lng,oman-lng,investment,KOREA LNG holds a 5.0% equity stake in Oman LNG.,,medium,https://www.mitsubishicorp.com/jp/en/news/release/2025/20250403001.html
mitsubishi-corporation,sulawesi-lng-development,investment,Mitsubishi holds 75% of the Sulawesi LNG Development holding vehicle.,,medium,https://journal.jogmec.go.jp/content/300799935.pdf
kogas,sulawesi-lng-development,investment,KOGAS holds 25% of the Sulawesi LNG Development holding vehicle.,,medium,https://journal.jogmec.go.jp/content/300799935.pdf
sulawesi-lng-development,donggi-senoro-lng,investment,Sulawesi LNG Development (MC 75 / KOGAS 25) is the holding vehicle for Donggi-Senoro LNG.,,medium,https://journal.jogmec.go.jp/content/300799935.pdf
